postcode,installations,output
3444,1418,7616.605
3446,199,821.099
3447,116,492.013
3448,218,943.332
3450,1323,5016.314
3451,985,4140.11
3453,397,1995.832
3458,384,1782.806
3460,417,2167.997
3461,854,3670.554
3462,278,1023.447
3463,584,2430.474
3464,198,1166.96
3465,1519,7592.94
3467,266,1274.726
3468,67,328.729
3469,54,277.96
3472,340,1321.81
3475,77,324.91
3477,151,650.868
3478,405,2283.724
3480,237,1630.555
3482,41,417.24
3483,154,892.145
3485,51,239.63
3487,16,76.12
3488,17,63.22
3489,7,37.055
3490,163,1135.71
3491,23,123.94
3494,75,881.002
3496,864,6124.754
3498,717,5636.351
3500,3514,25412.273
3501,373,2891.061
3502,29,212.47
3505,715,5179.07
3506,2,5.24
3507,28,123.56
3509,39,174.63
3512,62,276.445
3515,319,1749.255
3516,122,566.415
3517,313,1643.833
3518,263,1160.859
3520,41,167.65
3521,115,546.272
3522,71,297.662
3523,816,3898.681
3525,259,1443.638
3527,120,617.693
3529,15,90.045
3530,21,119.425
3531,24,97.57
3533,133,791.465
3537,159,834.666
3540,63,260.09
3542,27,136.36
3544,51,297.225
3546,70,362.97
3549,370,4937.969
3550,4154,21937.749
3551,5005,27141.451
3552,22,84.815
3554,2,6.39
3555,2191,10745.507
3556,1669,7277.346
3557,125,638.504
3558,173,778.924
3559,63,415.115
3561,829,4925.231
3562,61,500.56
3563,134,751.685
3564,2636,15358.247
3565,13,113.465
3566,108,844.815
3567,124,1319.64
3568,534,4150.15
3570,162,672.685
3571,68,506.452
3572,20,209.91
3573,55,536.86
3575,126,642.435
3576,8,136.122
3579,938,6226.993
3580,193,1168.28
3581,38,177.65
3583,31,285.21
3584,167,1215.555
3585,1464,10688.857
3586,119,873.003
3588,81,533.485
3589,53,708.848
3590,53,547.32
3591,28,195.945
3594,118,589.055
3595,126,506.635
3596,13,315.79
3597,60,768.047
3599,26,402.185
3607,23,387.005
3608,542,2795.06
3610,326,1872.569
3612,376,1665.39
3614,203,1258.685
3616,889,5185.725
3617,25,184.5
3618,138,1140.535
3619,83,412.31
3620,1387,7969.812
3621,402,2493.61
3622,78,618.865
3623,172,1041.755
3624,112,783.285
3629,1239,6620.724
3630,3642,19614.169
3631,2233,14061.368
3632,52,623.705
3633,123,606.52
3634,332,1892.277
3635,121,681.88
3636,1007,5387.895
3637,111,809.452
3638,403,2578.635
3639,124,707.523
3640,235,2529.735
3641,254,1643.88
3643,39,193
3644,1677,11442.287
3646,117,544.375
3647,2,34.95
3649,79,411.71
3658,991,4736.097
3659,156,814.685
3660,1064,5267.034
3661,37,114.304
3662,7,73.55
3663,56,392.477
3664,221,1139.407
3665,84,347.92
3666,991,5183.702
3669,274,1223.908
3670,132,556.435
3671,65,374.515
3672,1470,7945.62
3673,344,1583.28
3675,417,1969.05
3676,125,465.22
3677,2409,12014.258
3678,1407,7844.199
3682,137,790.062
3683,342,1418.685
3685,599,3132.386
3687,208,854.081
3688,287,1358.386
3689,99,357.516
3690,4277,23003.696
3691,1863,10573.76
3694,15,97.894
3695,93,451.823
3697,125,577.947
3698,215,820.781
3699,142,796.955
3700,268,1393.748
3701,266,1570.553
3704,9,43.765
3705,57,272.593
3707,396,1880.209
3708,12,41.085
3709,84,422.173
3711,123,547.115
3712,61,512.05
3713,207,900.04
3714,622,3223.413
3715,61,286.528
3717,602,2965.441
3718,19,97.93
3719,104,548.82
3720,158,989.287
3722,960,5883.431
3723,597,3167.272
3724,17,82.645
3725,121,555.1
3726,94,424.265
3727,65,237.775
3728,130,564.355
3730,1834,9401.378
3732,134,663.457
3733,42,315.27
3735,97,529.9
3736,33,142.04
3737,665,3779.751
3738,34,178.7
3739,40,263.01
3740,198,941.069
3741,588,3011.62
3744,91,373.583
3746,106,425.034
3747,968,4569.724
3749,522,2520.437
3750,2304,13679.035
3751,13,131.45
3752,2130,9947.696
3753,433,2481.407
3754,4499,22182.41
3755,34,216.11
3756,1684,8326.331
3757,1071,5566.739
3758,309,1416.449
3759,172,981.564
3760,57,241.691
3761,182,859.937
3762,18,79.22
3763,272,1172.887
3764,1139,5661.137
3765,561,2626.499
3766,77,326.765
3767,50,233.435
3770,414,3457.008
3775,524,2975.572
3777,1246,6307.67
3778,34,152.41
3779,105,684.02
3781,360,1569.032
3782,732,3350.213
3783,277,1439.711
3786,103,465.885
3787,46,212.645
3788,107,572.986
3789,14,83.21
3791,100,538.708
3792,93,423.659
3793,356,2073.077
3795,183,1433.861
3796,795,3424.096
3797,432,2216.715
3799,658,2871.276
3802,2434,10169.902
3803,1207,7934.341
3804,982,6055.224
3805,6185,27307.946
3806,5091,23596.677
3807,773,3945.848
3808,362,2039.293
3809,1762,10323.293
3810,5254,26732.661
3812,273,1876.137
3813,114,618.666
3814,289,1741.719
3815,384,1934.085
3816,384,2051.206
3818,2146,10048.908
3820,2040,10278.246
3821,452,2666.438
3822,129,599.098
3823,341,1808.677
3824,615,2997.026
3825,2538,11865.238
3831,337,1518.005
3832,49,269.695
3833,56,330.461
3835,62,484.11
3840,1712,10154.072
3842,518,2311.162
3844,3073,16410.475
3847,330,1731.595
3850,1479,8243.619
3851,1250,5626.262
3852,3,108.96
3853,9,36.365
3854,191,990.395
3856,187,1051.505
3857,75,335.36
3858,542,3497.384
3859,149,1403.357
3860,996,4855.355
3862,564,2955.541
3864,41,204.296
3865,103,768.359
3869,272,1307.823
3870,251,978.298
3871,449,2192.031
3873,65,364.095
3874,141,703.135
3875,2640,13884.152
3878,250,1123.752
3880,745,3252.191
3882,220,1085.191
3885,355,1491.974
3886,65,367.075
3887,53,316.569
3888,570,2602.989
3889,32,135.889
3890,60,287.712
3891,39,128.565
3892,271,1030.732
3893,4,31.555
3895,26,135.435
3896,58,318.945
3898,120,618.959
3900,27,121.815
3902,70,370.357
3903,127,607.838
3904,360,1635.752
3909,1320,6308.435
3910,2222,9585.016
3911,414,2630.909
3912,1654,8172.365
3913,403,2209.216
3915,1069,5734.596
3916,214,1416.623
3918,657,2985.423
3919,351,1418.055
3921,69,249.656
3922,1721,9119.919
3923,157,689.942
3925,692,3714.626
3926,554,2891.196
3927,311,1458.582
3928,97,763.591
3929,249,1600.372
3930,1646,8705.161
3931,2475,10768.388
3933,144,1384.559
3934,2034,9362.969
3936,1349,6561.814
3937,247,1806.802
3938,425,1791.692
3939,1850,9052.038
3940,417,1798.876
3941,1627,7196.238
3942,420,1953.426
3943,374,1945.27
3944,148,947.573
3945,214,1136.161
3946,48,248.955
3950,665,3409.104
3951,188,1030.402
3953,1080,5965.58
3954,69,331.16
3956,701,3227.97
3957,55,431.487
3958,33,169.256
3959,368,1527.155
3960,568,2699.26
3962,201,896.12
3964,29,115.81
3965,55,231.966
3966,90,473.18
3967,26,115.08
3971,650,3042.082
3975,2414,11490.778
3976,2623,10645.787
3977,12942,61934.511
3978,4765,28846.98
3979,62,355.53
3980,492,2424.197
3981,663,4320.593
3984,1112,5423.551
3987,255,1226.658
3988,184,1037.36
3990,28,155.25
3991,95,431.177
3992,180,898.095
3995,1737,8305.048
3996,1155,5545.804
4000,242,2163.893
4001,14,126.126
4002,1,7.905
4004,7,27.42
4005,571,3649.865
4006,365,4377.012
4007,779,5385.468
4008,78,2395.23
4009,56,1724.531
4010,196,1280.134
4011,1394,8033.335
4012,2097,9798.333
4013,558,3476.068
4014,2189,11903.71
4017,6290,26463.227
4018,2175,8232.591
4019,2846,13367.401
4020,3693,17688.345
4021,1629,6532.584
4022,1491,5946.572
4025,199,597.37
4030,1407,7465.856
4031,1408,7583.052
4032,1423,6849.501
4034,6457,29204.107
4035,5357,26155.254
4036,1266,5417.886
4037,1635,7988.985
4051,2944,15462.058
4053,5898,26843.764
4054,2100,8456.916
4055,3970,18404.232
4059,889,4722.061
4060,1562,8250.173
4061,2756,12642.589
4062,1,1.5
4063,1,1.25
4064,1000,6409.59
4065,1187,6274.832
4066,1071,6457.246
4067,597,3350.916
4068,2011,10956.407
4069,5743,30323.404
4070,2474,12366.87
4073,1827,9412.798
4074,4720,21727.128
4075,3146,15485.519
4076,861,8066.146
4077,4225,19163.692
4078,4442,19051.148
4101,1229,7453.151
4102,596,3367.822
4103,1326,5804.037
4104,640,3580.199
4105,1494,7251.382
4106,363,4405.85
4107,1041,6270.653
4108,1036,7007.576
4109,6675,27057.805
4110,2771,20207.394
4111,140,594.739
4112,1592,6929.998
4113,4539,19768.052
4114,2931,12814.52
4115,3817,16578.912
4116,4904,20849
4117,366,3297.695
4118,5865,26121.132
4119,1344,7914.001
4120,672,3306.308
4121,3240,15362.544
4122,5890,26130.42
4123,4191,20349.013
4124,5531,29651.656
4125,2047,9936.201
4127,4194,20379.943
4128,3218,14044.259
4129,1233,6315.565
4130,1814,9101.47
4131,1423,6501.653
4132,3532,15419.512
4133,3180,15024.303
4151,1445,8298.062
4152,6488,29996.389
4153,791,3926.27
4154,2024,10798.653
4155,315,2400.774
4156,707,3738.624
4157,3902,18098.514
4158,566,2214.611
4159,3081,12400.184
4160,3917,16646.73
4161,3357,13226.818
4163,2695,12701.242
4164,3409,16771.786
4165,8310,35243.432
4169,621,3704.008
4170,2752,15220.052
4171,1705,9942.205
4172,668,4765.558
4173,1528,7177.311
4174,508,3163.715
4178,3902,18160.751
4179,3231,13615.832
4183,525,2191.309
4184,2396,9107.214
4205,1142,4637.333
4207,10706,57300.411
4208,4491,24479.711
4209,8674,49846.351
4210,4357,23402.705
4211,10856,53316.517
4212,6150,34399.358
4213,5887,30089.811
4214,6791,35656.018
4215,3734,19462.421
4216,5716,26181.318
4217,3281,19273.992
4218,3991,20252.744
4219,18,93.555
4220,4516,24070.428
4221,4433,18643.936
4223,2684,12619.437
4224,726,3513.949
4225,352,1917.743
4226,5079,24326.458
4227,3132,15373.588
4228,1171,6077.354
4230,9,33.88
4237,1,0.92
4270,1030,5416.371
4271,355,986.268
4272,1288,6828.692
4275,822,4631.405
4276,1,3.3
4280,4664,25350.517
4285,4453,23856.72
4287,151,945.67
4300,10963,57747.672
4301,4440,20442.529
4303,495,1997.056
4304,2611,11388.902
4305,9888,42126.846
4306,9665,48760.975
4307,367,1946.314
4309,717,3827.331
4310,1432,6476.452
4311,2447,12039.369
4312,879,4092.276
4313,630,2873.448
4314,201,1630.965
4340,1217,5848.511
4341,3846,18669.7
4342,622,3462.635
