postcode,installations,output
4343,2092,12230.075
4344,538,3078.374
4345,1,1.52
4346,279,1492.804
4347,343,2045.945
4350,12851,66113.793
4352,5898,30689.788
4353,58,298.908
4354,282,1501.522
4355,554,2457.075
4356,842,4752.762
4357,466,3064.146
4358,415,2218.1
4359,263,1311.844
4360,131,1058.15
4361,462,2844.056
4362,566,3756.677
4363,153,668.978
4364,52,336.765
4365,121,672.568
4370,2947,16297.977
4371,170,754.995
4372,35,129.2
4373,187,958.64
4374,90,495.191
4375,38,231.355
4376,72,575.645
4377,129,760.752
4378,116,505.248
4380,1524,7411.54
4381,143,753.166
4382,115,699.5
4383,154,659.346
4384,4,28.68
4385,200,1024.349
4387,195,1400.957
4388,76,365.925
4390,871,5303.47
4400,456,2291.746
4401,902,4629.871
4402,66,294.465
4403,147,1063.735
4404,68,602.628
4405,2034,13120.212
4406,205,1255.255
4407,83,593.575
4408,169,628.671
4410,254,1146.706
4411,62,325.46
4412,45,240.07
4413,1053,6144.67
4415,327,2189.619
4416,69,536.465
4417,148,731.11
4418,18,87.683
4419,145,711.197
4420,192,1010.165
4421,324,1734.652
4422,85,582.867
4423,26,176.84
4424,35,187.013
4425,29,165.098
4426,17,106.91
4427,79,312.737
4428,148,595.12
4454,180,1019.795
4455,1459,7609.629
4461,11,52.64
4462,13,53.37
4465,320,1461.715
4467,43,226.23
4468,75,369.53
4470,449,2545.01
4472,187,1185.56
4474,9,81.565
4475,3,32.95
4477,101,638.423
4478,78,608.155
4479,4,39.16
4480,116,958.325
4481,12,101.03
4482,29,345.875
4486,120,728.805
4487,486,3622.655
4488,42,159.48
4489,16,94.7
4490,273,1446.711
4491,17,55.08
4492,94,2207.814
4493,9,41.32
4494,31,185.425
4496,55,442.855
4497,53,314.06
4498,21,130.395
4500,8356,41971.115
4501,1048,4845.775
4502,1712,7247.958
4503,7502,34271.414
4504,4222,21209.445
4505,5341,25356.291
4506,4045,19188.346
4507,6064,24428.192
4508,3230,14158.796
4509,5638,28495.177
4510,10269,49919.192
4511,2767,11383.123
4512,865,4915.002
4514,1777,8798.569
4515,1002,5176.683
4516,1176,6361.39
4517,220,1126.283
4518,1435,6754.254
4519,2082,9952.273
4520,3197,17042.339
4521,1231,6206.275
4550,1060,4747.405
4551,13761,59636.87
4552,2536,10252.744
4553,2232,12557.304
4554,402,2065.601
4555,1699,7275.796
4556,8871,40529.717
4557,2995,13978.123
4558,2735,13059.581
4559,1442,7640.577
4560,7242,32822.845
4561,2040,11740.449
4562,2076,11087.431
4563,2647,13017.858
4564,2329,9890.52
4565,3362,15095.974
4566,2034,12510.186
4567,2045,11150.471
4568,948,4362.37
4569,410,1717.867
4570,10158,49331.99
4571,202,974.255
4572,406,2204.188
4573,5017,24928.657
4574,317,1657.748
4575,5362,24610.43
4580,1659,6383.995
4581,443,2299.603
4600,226,1062.647
4601,195,909.77
4605,609,3216.077
4606,488,2078.965
4608,182,871.123
4610,2324,10871.12
4611,27,139.703
4612,58,250.445
4613,142,722.95
4614,279,1210.25
4615,1484,5731.687
4620,79,336.275
4621,345,1406.899
4625,517,2997.141
4626,359,2622.801
4627,146,953.93
4630,323,1604.83
4650,6159,28121.343
4655,15092,66668.509
4659,1609,6879.538
4660,1981,9007.246
4662,167,812.932
4670,16406,77059.776
4671,1349,5470.933
4673,136,603.781
4674,360,1678.028
4676,69,267.84
4677,896,4134.735
4678,280,1167.307
4680,8580,43448.922
4694,44,218.045
4695,210,973.951
4697,29,148.305
4699,74,329.092
4700,2143,11677.268
4701,6082,29251.935
4702,4406,22428.978
4703,4294,19783.019
4704,25,115.47
4705,53,365.255
4706,11,51.58
4707,36,152.785
4709,9,87.81
4710,773,3227.27
4711,411,1839.125
4712,28,188.83
4713,13,96.69
4714,485,1887.689
4715,892,4930.473
4716,147,682.8
4717,305,1900.077
4718,327,1903.148
4719,183,953.96
4720,1871,12868.103
4721,400,2196.688
4722,275,1632.104
4723,185,1222.11
4724,71,497.5
4725,220,1327.561
4726,54,312.305
4727,46,214.11
4728,49,318.855
4730,393,3229.282
4731,40,198.14
4732,32,220.58
4733,18,95.71
4735,115,788.76
4736,16,103.657
4737,1376,7252.6
4738,229,1160.057
4739,72,429.26
4740,11129,65983.136
4741,1292,6931.355
4742,98,678.385
4743,13,164.79
4744,382,3015.245
4745,114,881.69
4746,22,324.365
4750,858,4422.576
4751,699,3762.801
4753,720,4026.985
4754,362,2278.46
4756,98,680.285
4757,58,299.746
4798,145,871.037
4799,287,1477.015
4800,2225,12302.213
4802,1512,9763.566
4803,1,1.48
4804,321,1923.181
4805,1738,9774.029
4806,769,6270.608
4807,2247,13356.6
4808,257,1641.155
4809,260,1819.437
4810,2298,14600.075
4811,2105,11041.61
4812,2439,13788.408
4814,7321,39996.112
4815,4264,19260.986
4816,1773,9324.452
4817,5696,28458.634
4818,5757,31642.911
4819,502,2597.493
4820,1353,7701.048
4821,249,1755.167
4822,122,1145.37
4823,122,1086.64
4824,216,1702.535
4825,1962,12852.291
4828,25,302.205
4829,113,870.324
4830,65,1107.153
4849,290,1886.259
4850,1776,8698.978
4852,766,4729.747
4854,742,5373.096
4855,116,618.845
4856,126,716.1
4857,3,11.36
4858,234,1497.22
4859,74,369.265
4860,1224,8093.954
4861,178,1195.6
4865,1331,7850.214
4868,2913,16345.061
4869,2745,15497.833
4870,8445,53397.58
4871,1390,9387.287
4872,700,5459.415
4873,1239,6956.291
4874,19,202.77
4875,131,1569.011
4876,25,407.28
4877,746,4844.137
4878,2142,12379.491
4879,3530,19975.749
4880,2232,14881.974
4881,675,3536.219
4882,530,3467.79
4883,902,4803.028
4884,419,2087.374
4885,638,3316.514
4886,105,686.876
4887,306,1378.6
4888,419,2266.164
4890,94,1014.105
4891,68,650.12
4892,52,1014.915
4895,429,2790.885
5000,931,10184.617
5001,13,239.295
5006,668,3920.504
5007,933,6635.426
5008,1957,10459.42
5009,884,5775.1
5010,950,6996.028
5011,1798,10399.019
5012,1597,8334.338
5013,1748,14257.26
5014,1904,10242.293
5015,937,5500.585
5016,1633,7448.388
5017,777,3532.035
5018,1310,5049.061
5019,1611,6575.748
5020,596,2750.578
5021,1303,6070.614
5022,2793,12946.15
5023,2295,11211.878
5024,2357,11172.876
5025,1409,7005.788
5031,1332,9025.452
5032,1876,9740.484
5033,1109,7015.013
5034,1498,7781.065
