Postcode,Average_total,Average_salary
2626,86543,65301
2627,80942,56167
2628,74195,50152
2629,68962,41745
2630,81825,56069
2631,95653,45850
2632,80020,54847
2633,76209,49692
2640,85602,60086
2641,73348,55312
2642,77970,51705
2643,75122,55178
2644,89965,48996
2645,70764,39467
2646,77274,52639
2647,76419,49239
2648,75525,46249
2650,84584,61081
2651,76733,67485
2652,73797,51441
2653,78188,58609
2655,79307,53024
2656,73810,43898
2658,77405,42560
2659,74948,45584
2660,77590,49791
2661,84582,78359
2663,76237,57494
2665,63132,40709
2666,74643,49529
2668,75617,36203
2669,61081,36423
2671,79845,57683
2672,73652,45366
2675,58757,50258
2680,78363,56461
2681,73311,59700
2700,71814,54201
2701,74189,53346
2702,69299,45353
2703,74737,61261
2705,74372,59156
2706,62300,55516
2707,69193,42019
2710,77065,52598
2711,73181,50467
2712,74257,46819
2713,69321,48823
2714,76122,49846
2715,80990,47852
2716,78415,48122
2717,74672,49635
2720,82178,62959
2721,81879,29305
2722,76299,52455
2725,77151,42068
2726,68422,45420
2727,92551,44804
2729,82059,57166
2730,70381,53498
2731,84152,54293
2732,76108,45189
2733,80615,47140
2734,91447,49515
2735,61370,46825
2736,143129,40309
2737,80379,46490
2738,86677,55338
2739,80524,52646
2745,92699,75457
2747,83343,69200
2748,108335,59895
2749,86687,70955
2750,85909,69857
2751,93838,69230
2752,85389,71577
2753,86714,65192
2754,84022,64780
2755,88613,76943
2756,88159,67782
2757,94105,63838
2758,95025,68507
2759,81371,69675
2760,77514,65759
2761,78867,70200
2762,86923,76897
2763,83885,73664
2765,91324,68376
2766,77527,67553
2767,77565,68490
2768,91984,79941
2769,97538,86766
2770,73264,62422
2773,108331,79419
2774,93549,74925
2775,87885,57975
2776,91041,71661
2777,90746,71291
2778,88899,68417
2779,83778,67115
2780,83170,55529
2782,92653,60935
2783,81845,62515
2784,83073,65466
2785,84693,56716
2786,81126,56207
2787,77704,60326
2790,85503,67996
2791,80517,49060
2792,89310,53643
2793,83751,50935
2794,74637,49922
2795,84131,64352
2797,71818,56750
2798,97170,69558
2799,77985,62532
2800,89855,66618
2803,74876,45080
2804,74871,51627
2805,72350,51971
2806,74824,49449
2807,71386,40430
2808,66788,54743
2809,76816,40593
2810,78881,41933
2817,54164,40965
2818,78474,64141
2820,73284,55003
2821,75266,55680
2822,73356,59716
2823,76780,51123
2824,77069,51942
2825,78131,59675
2826,70231,46669
2827,71528,51863
2828,63561,34234
2829,65691,51135
2830,79949,61935
2831,70821,53203
2832,71385,56963
2833,68552,55088
2834,69106,51937
2835,95571,81302
2836,75235,48980
2839,67782,56961
2840,77978,59274
2842,62365,45829
2843,80099,50619
