postcode,zone,rating,annual_prod,rebate
1595,3.0,1.382,9.1,3185.0
1597,3.0,1.382,9.1,3185.0
1602,3.0,1.382,9.1,3185.0
1630,3.0,1.382,9.1,3185.0
1635,3.0,1.382,9.1,3185.0
1639,3.0,1.382,9.1,3185.0
1640,3.0,1.382,9.1,3185.0
1655,3.0,1.382,9.1,3185.0
1658,3.0,1.382,9.1,3185.0
1660,3.0,1.382,9.1,3185.0
1670,3.0,1.382,9.1,3185.0
1675,3.0,1.382,9.1,3185.0
1680,3.0,1.382,9.1,3185.0
1685,3.0,1.382,9.1,3185.0
1700,3.0,1.382,9.1,3185.0
1710,3.0,1.382,9.1,3185.0
1715,3.0,1.382,9.1,3185.0
1730,3.0,1.382,9.1,3185.0
1740,3.0,1.382,9.1,3185.0
1741,3.0,1.382,9.1,3185.0
1750,3.0,1.382,9.1,3185.0
1755,3.0,1.382,9.1,3185.0
1765,3.0,1.382,9.1,3185.0
1771,3.0,1.382,9.1,3185.0
1781,3.0,1.382,9.1,3185.0
1790,3.0,1.382,9.1,3185.0
1800,3.0,1.382,9.1,3185.0
1805,3.0,1.382,9.1,3185.0
1811,3.0,1.382,9.1,3185.0
1819,3.0,1.382,9.1,3185.0
1825,3.0,1.382,9.1,3185.0
1830,3.0,1.382,9.1,3185.0
1831,3.0,1.382,9.1,3185.0
1835,3.0,1.382,9.1,3185.0
1851,3.0,1.382,9.1,3185.0
1860,3.0,1.382,9.1,3185.0
1871,3.0,1.382,9.1,3185.0
1875,3.0,1.382,9.1,3185.0
1885,3.0,1.382,9.1,3185.0
1888,3.0,1.382,9.1,3185.0
1890,3.0,1.382,9.1,3185.0
1891,3.0,1.382,9.1,3185.0
2000,3.0,1.382,9.1,3185.0
2001,3.0,1.382,9.1,3185.0
2002,3.0,1.382,9.1,3185.0
2004,3.0,1.382,9.1,3185.0
2006,3.0,1.382,9.1,3185.0
2007,3.0,1.382,9.1,3185.0
2008,3.0,1.382,9.1,3185.0
2009,3.0,1.382,9.1,3185.0
