postcode,installations,output,suburb_id,suburb,state,long,lat
852,152,1899.72,365,KALKARINGI,NT,137.050719,-15.711424
852,152,1899.72,366,KATHERINE,NT,137.050719,-15.711424
852,152,1899.72,367,LAJAMANU,NT,137.050719,-15.711424
852,152,1899.72,368,LARRIMAH,NT,137.050719,-15.711424
852,152,1899.72,20092,LIMMEN,NT,134.936628,-15.104595999999999
852,152,1899.72,369,MANBULLOO,NT,137.050719,-15.711424
852,152,1899.72,20093,MARANBOY,NT,132.864374,-14.524609
852,152,1899.72,20094,MATARANKA,NT,133.0434117,-14.96983009
852,152,1899.72,20095,MCARTHUR,NT,135.9389164,-16.26282987
852,152,1899.72,20096,MINIYERI,NT,134.0797817,-15.2254374
852,152,1899.72,20097,NGUKURR,NT,134.74407340000002,-14.73158731
852,152,1899.72,20098,NITMILUK,NT,132.5362579,-14.11434123
852,152,1899.72,373,NUMBULWAR,NT,137.050719,-15.711424
852,152,1899.72,20099,PELLEW ISLANDS,NT,136.8142529,-15.66080497
852,152,1899.72,20100,PIGEON HOLE,NT,131.215146,-16.79514658
852,152,1899.72,20101,ROBINSON RIVER,NT,136.9827659,-16.75852817
852,152,1899.72,20102,STURT PLATEAU,NT,132.6120699,-15.65938858
852,152,1899.72,20103,TANAMI EAST,NT,132.7009096,-18.61662725
852,152,1899.72,20104,TIMBER CREEK,NT,130.4960315,-15.66155041
852,152,1899.72,20105,TOP SPRINGS,NT,131.80148490000002,-16.54851117
852,152,1899.72,20106,URALLA,NT,132.29803379999998,-14.49121431
852,152,1899.72,20107,VENN,NT,132.539518,-14.55560838
852,152,1899.72,20108,VICTORIA RIVER,NT,131.5356628,-16.66340592
852,152,1899.72,375,VICTORIA RIVER DOWNS,NT,137.050719,-15.711424
852,152,1899.72,20109,WARUMUNGU,NT,133.952899,-20.02830877
852,152,1899.72,376,WAVE HILL,NT,137.050719,-15.711424
852,152,1899.72,20110,WILTON,NT,134.9242872,-14.43717242
852,152,1899.72,20111,YARRALIN,NT,130.84186609999998,-16.4525888
853,1,2.65,20112,TINDAL,NT,132.37912169999998,-14.53113365
853,1,2.65,377,TINDAL RAAF,NT,132.417121,-14.558122000000001
854,14,189.195,378,BORROLOOLA,NT,136.42419099999998,-16.503809
854,14,189.195,20113,KING ASH BAY,NT,136.3091159,-16.070754
860,122,736.4989999999999,380,TENNANT CREEK,NT,134.173599,-19.641301000000002
861,21,121.595,381,BRUNCHILLY,NT,134.500504,-18.874571
861,21,121.595,382,TENNANT CREEK,NT,134.463153,-18.251528
862,33,366.59,383,AVON DOWNS,NT,134.463153,-18.251528
862,33,366.59,20114,CALVERT,NT,137.4667145,-16.79698963
862,33,366.59,384,CRESSWELL DOWNS,NT,134.463153,-18.251528
862,33,366.59,385,ELLIOTT,NT,134.463153,-18.251528
862,33,366.59,386,HELEN SPRINGS,NT,134.463153,-18.251528
862,33,366.59,387,MUCKATY STATION,NT,134.463153,-18.251528
862,33,366.59,388,NEWCASTLE WATERS,NT,134.463153,-18.251528
862,33,366.59,20115,NICHOLSON,NT,137.6072968,-18.45128815
862,33,366.59,20116,PAMAYU,NT,134.05555900000002,-17.60786065
862,33,366.59,389,PHILLIP CREEK STATION,NT,134.463153,-18.251528
862,33,366.59,390,RENNER SPRINGS,NT,134.463153,-18.251528
862,33,366.59,20117,TABLELANDS,NT,135.5134605,-18.92862068
862,33,366.59,391,TENNANT CREEK,NT,134.463153,-18.251528
862,33,366.59,392,THREE WAYS,NT,134.463153,-18.251528
862,33,366.59,393,WARREGO,NT,134.463153,-18.251528
862,33,366.59,394,WOLLOGORANG STATION,NT,134.463153,-18.251528
862,33,366.59,395,WYCLIFFE WELL,NT,134.463153,-18.251528
870,2553,15917.896,396,ALICE SPRINGS,NT,133.86314,-23.702291
870,2553,15917.896,20118,ARALUEN,NT,133.853957,-23.6967102
870,2553,15917.896,20119,BRAITLING,NT,133.8633044,-23.67527346
870,2553,15917.896,20120,CICCONE,NT,133.8678028,-23.69234565
870,2553,15917.896,20121,DESERT SPRINGS,NT,133.8867138,-23.71460854
870,2553,15917.896,20122,EAST SIDE,NT,133.8971833,-23.69030677
870,2553,15917.896,20123,GILLEN,NT,133.86600049999998,-23.71080361
870,2553,15917.896,20124,SADADEEN,NT,133.9010002,-23.70326702
870,2553,15917.896,20125,STUART,NT,133.88238629999998,-23.673030100000002
870,2553,15917.896,20126,THE GAP,NT,133.8740968,-23.71393895
870,2553,15917.896,20127,WHITE GUMS,NT,133.7578528,-23.75188561
871,57,407.38,397,ALICE SPRINGS,NT,131.298809,-21.949513
872,185,2257.817,398,AHERRENGE,NT,131.298809,-21.949513
872,185,2257.817,399,ALI CURUNG,NT,131.298809,-21.949513
872,185,2257.817,400,ALICE SPRINGS,NT,131.298809,-21.949513
872,185,2257.817,401,AMATA,NT,131.298809,-21.949513
872,185,2257.817,402,AMOONGUNA,NT,131.298809,-21.949513
872,185,2257.817,20128,AMPILATWATJA,NT,135.24692119999997,-21.66430243
872,185,2257.817,20129,ANANGU PITJANTJATJARA YANKUNYTJATJARA,SA,131.2056973,-27.07728273
872,185,2257.817,20130,ANATYE,NT,136.95366869999998,-22.99400232
872,185,2257.817,20131,ANMATJERE,NT,134.0970699,-22.398931100000002
872,185,2257.817,403,ANTEWENEGERRDE,NT,131.298809,-21.949513
872,185,2257.817,404,AREYONGA,NT,131.298809,-21.949513
872,185,2257.817,20132,ATITJERE,NT,134.932556,-22.98205755
872,185,2257.817,20133,AYERS RANGE SOUTH,SA,133.2680322,-26.190600699999997
872,185,2257.817,406,AYERS ROCK,NT,131.298809,-21.949513
872,185,2257.817,20134,BARROW CREEK,NT,133.975551,-21.379898
872,185,2257.817,20135,BURT PLAIN,NT,133.4488082,-23.36823008
872,185,2257.817,20136,CANTEEN CREEK,NT,135.586508,-20.64026544
872,185,2257.817,20137,CHILLA WELL,NT,131.3745808,-21.64196866
872,185,2257.817,20138,COSTELLO,NT,136.7750667,-21.00078643
872,185,2257.817,20139,DAVENPORT,NT,134.8291358,-20.94859492
872,185,2257.817,20140,DE ROSE HILL,SA,133.3111959,-26.5560969
872,185,2257.817,409,DOCKER RIVER,NT,131.298809,-21.949513
872,185,2257.817,20141,ENGAWALA,NT,134.45723040000001,-22.80352884
872,185,2257.817,410,ERLDUNDA,NT,131.298809,-21.949513
872,185,2257.817,411,ERNABELLA,SA,131.298809,-21.949513
872,185,2257.817,22838,ERNABELLA (PUKATJA),SA,0.0,0.0
872,185,2257.817,412,FINKE,NT,131.298809,-21.949513
872,185,2257.817,413,FREGON,SA,131.298809,-21.949513
872,185,2257.817,20142,GHAN,NT,133.945318,-25.50869599
872,185,2257.817,414,GIBSON DESERT NORTH,WA,131.298809,-21.949513
872,185,2257.817,20143,GIBSON DESERT SOUTH,WA,125.9841842,-24.94725917
872,185,2257.817,416,HAASTS BLUFF,NT,131.298809,-21.949513
872,185,2257.817,20144,HALE,NT,134.965227,-24.08113872
872,185,2257.817,20145,HART,NT,135.5988293,-23.02087465
872,185,2257.817,20146,HART RANGE,NT,134.83333330000002,-23.1666667
872,185,2257.817,20147,HERMANNSBURG,NT,132.7960098,-23.93802519
872,185,2257.817,20148,HUGH,NT,133.610012,-24.11229981
872,185,2257.817,418,IMAMPA,NT,131.298809,-21.949513
872,185,2257.817,20149,IMANPA,NT,132.56876359999998,-25.1175562
872,185,2257.817,419,INDULKANA,SA,131.298809,-21.949513
872,185,2257.817,22844,INDULKANA (IWANTJA),SA,0.0,0.0
872,185,2257.817,20150,ININTI STORE,NT,131.6138326,-23.468686399999996
872,185,2257.817,20151,IWANTJA,SA,133.3066861,-26.97805135
872,185,2257.817,420,JAY CREEK,NT,131.298809,-21.949513
872,185,2257.817,20152,KALKA,SA,129.1527543,-26.11557751
872,185,2257.817,20153,KALTJITI,SA,132.0298903,-26.76713295
872,185,2257.817,20154,KALTUKATJARA,NT,129.094528,-24.87255301
872,185,2257.817,20155,KANPI,SA,130.1149452,-26.16295046
872,185,2257.817,422,KINTORE,NT,131.298809,-21.949513
872,185,2257.817,20156,KIWIRRKURRA,WA,126.95410700000001,-23.2807675
872,185,2257.817,20157,KULGERA,NT,133.5,-25.833333
872,185,2257.817,20158,KUNPARRKA,NT,131.66095249999998,-23.34766035
872,185,2257.817,20159,LAKE MACKAY,NT,129.836553,-22.56770511
872,185,2257.817,20160,LAMBINA,SA,134.0209294,-26.98843007
872,185,2257.817,20161,LARAMBA,NT,132.7623588,-22.54343571
872,185,2257.817,20162,MEREENIE,NT,131.82609509999997,-23.89506921
872,185,2257.817,20163,MIMILI,SA,132.7012923,-27.02392513
872,185,2257.817,20164,MOUNT LIEBIG,NT,131.2776674,-23.26801669
872,185,2257.817,20165,MOUNT ZEIL,NT,132.3999432,-23.30598045
872,185,2257.817,427,MULGA BORE,NT,131.298809,-21.949513
872,185,2257.817,20166,MURPUTJA,SA,130.18269170000002,-26.163742499999998
872,185,2257.817,428,MURPUTJA HOMELANDS,NT,131.298809,-21.949513
872,185,2257.817,20167,MUTITJULU,NT,131.0673597,-25.35069546
872,185,2257.817,20168,NAMATJIRA,NT,132.5066498,-23.92272359
872,185,2257.817,20169,NGAANYATJARRA-GILES,WA,128.11508020000002,-25.27073166
872,185,2257.817,20170,NYAPARI,SA,130.2070878,-26.18249261
872,185,2257.817,20171,NYIRRIPI,NT,130.5638643,-22.64924233
872,185,2257.817,20172,PAPUNYA,NT,131.9131315,-23.20480045
872,185,2257.817,20173,PATJARR,WA,131.6138326,-23.468686399999996
872,185,2257.817,20174,PETERMANN,NT,129.9128112,-25.06768646
872,185,2257.817,20175,PIPALYATJARA,SA,129.1456993,-26.17046294
872,185,2257.817,433,PITJANTJATJARA HOMELANDS,NT,131.298809,-21.949513
872,185,2257.817,20176,PUKATJA,SA,132.13815400000001,-26.29118818
872,185,2257.817,20177,SANDOVER,NT,135.48183219999999,-21.98353618
872,185,2257.817,434,SANTA TERESA,NT,131.298809,-21.949513
872,185,2257.817,20178,SIMPSON,NT,136.92241,-25.0115767
872,185,2257.817,20179,TANAMI,NT,130.50739679999998,-20.02389415
872,185,2257.817,20180,TARA,NT,133.9991919,-21.48332153
872,185,2257.817,435,THANGKENHARENGE,NT,131.298809,-21.949513
872,185,2257.817,436,TI TREE,NT,131.298809,-21.949513
872,185,2257.817,20181,TIEYON,SA,133.8900188,-26.34253111
872,185,2257.817,20182,TITJIKALA,NT,134.0751086,-24.68023025
872,185,2257.817,20183,TJIRRKARLI,WA,125.3466253,-25.9752687
872,185,2257.817,20184,TJUKURLA,WA,128.656027,-24.343546
