Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,AVG,Total
1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,3.0
1871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,1.0
1875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,1.0
1885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,5.0
1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23809523809523808,5.0
2000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,20.0,5.0,2.0,6.0,1.0,2.4285714285714284,51.0
2007.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,8.0,0.0,1.3333333333333333,28.0
2008.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,13.0,5.0,1.0,1.0,6.0,7.0,13.0,0.0,11.0,3.0,12.0,5.0,3.9047619047619047,82.0
2009.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,0.8095238095238095,17.0
2010.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,21.0,23.0,7.0,25.0,10.0,9.0,10.0,16.0,7.0,14.0,21.0,13.0,8.571428571428571,180.0
2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,6.0,3.0,5.0,2.0952380952380953,44.0
2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,23.0,21.0,11.0,13.0,10.0,19.0,20.0,24.0,20.0,28.0,24.0,19.0,11.476190476190476,241.0
2016.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,20.0,17.0,3.0,4.0,9.0,5.0,7.0,10.0,13.0,16.0,20.0,1.0,6.285714285714286,132.0
2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,6.0,2.0,3.0,8.0,5.0,3.0,4.0,16.0,10.0,1.0,3.4761904761904763,73.0
2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,52.0,49.0,35.0,3.0,13.0,22.0,38.0,13.0,21.0,48.0,54.0,34.0,18.523809523809526,389.0
2019.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,43.0,29.0,16.0,22.0,19.0,10.0,18.0,33.0,36.0,51.0,38.0,17.857142857142858,375.0
2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,64.0,34.0,18.0,21.0,10.0,19.0,16.0,18.0,36.0,59.0,34.0,17.285714285714285,363.0
2021.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,5.0,17.0,22.0,15.0,8.0,5.0,7.0,16.0,15.0,22.0,30.0,42.0,16.0,10.80952380952381,227.0
2022.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,36.0,27.0,18.0,8.0,16.0,17.0,15.0,14.0,22.0,33.0,41.0,21.0,13.285714285714286,279.0
