Postcode,Installation,Output
3708,0,0
3709,1,0.28
3711,0,0
3712,0,0
3713,0,0
3714,1,1.12
3715,0,0
3717,2,0.76
3718,0,0
3719,1,1.2
3720,1,0.56
3722,0,0
3723,2,0.875
3724,0,0
3725,0,0
3726,0,0
3727,0,0
3728,0,0
3730,0,0
3732,0,0
3733,0,0
3735,0,0
3736,0,0
3737,1,0.56
3738,1,1.68
3739,0,0
3740,0,0
3741,2,3.37
3744,0,0
3746,0,0
3747,3,1.28
3749,1,1.68
3750,0,0
3751,0,0
3752,0,0
3753,0,0
3754,0,0
3755,0,0
3756,0,0
3757,1,1.44
3758,0,0
3759,0,0
3760,1,2.24
3761,0,0
3762,0,0
3763,1,2.88
3764,0,0
3765,0,0
3766,0,0
3767,0,0
3770,0,0
3775,0,0
3777,3,3.39
3778,0,0
3779,0,0
3781,0,0
3782,0,0
3783,1,0.96
3786,0,0
3787,0,0
3788,0,0
3789,0,0
3791,0,0
3792,0,0
3793,0,0
3795,0,0
3796,0,0
3797,1,1.28
3799,1,1.5
3802,0,0
3803,0,0
3804,1,3.2
3805,0,0
3806,1,2.4
3807,0,0
3808,0,0
3809,0,0
3810,1,1.4
3812,0,0
3813,0,0
3814,0,0
3815,0,0
3816,0,0
3818,0,0
3820,0,0
3821,0,0
3822,0,0
3823,1,0.3
3824,0,0
3825,1,0.15
3831,1,1.44
3832,0,0
3833,1,0.225
3835,0,0
3840,0,0
3842,1,1.92
3844,1,1.44
3847,0,0
3850,0,0
3851,0,0
3852,0,0
3853,0,0
3854,0,0
3856,0,0
3857,0,0
3858,0,0
3859,2,0.87
3860,0,0
3862,0,0
3864,0,0
3865,0,0
3869,0,0
3870,0,0
3871,1,0.96
3873,0,0
3874,0,0
3875,0,0
3878,0,0
3880,0,0
3882,0,0
3885,1,0.64
3886,0,0
3887,0,0
3888,0,0
3889,0,0
3890,1,1.12
3891,1,0.96
3892,0,0
3893,0,0
3895,0,0
3896,0,0
3898,5,3.864
3900,1,0.45
3902,0,0
3903,0,0
3904,1,1.44
3909,0,0
3910,2,3.36
3911,0,0
3912,0,0
3913,0,0
3915,0,0
3916,0,0
3918,0,0
3919,0,0
3921,2,1.44
3922,0,0
3923,0,0
3925,0,0
3926,1,1.68
3927,0,0
3928,1,0.4
3929,0,0
3930,0,0
3931,0,0
3933,0,0
3934,1,0.98
3936,0,0
3937,0,0
3938,2,3.2
3939,0,0
3940,0,0
3941,0,0
3942,0,0
3943,0,0
3944,0,0
3945,0,0
3946,0,0
3950,0,0
3951,0,0
3953,2,1.12
3954,0,0
3956,1,0.32
3957,0,0
3958,0,0
3959,0,0
3960,2,1.12
3962,0,0
3964,0,0
3965,0,0
3966,0,0
3967,1,0.15
3971,0,0
3975,0,0
3976,0,0
3977,0,0
3978,0,0
3979,0,0
3980,0,0
3981,0,0
3984,1,1.6
3987,0,0
3988,0,0
3990,0,0
3991,0,0
3992,0,0
3995,0,0
3996,0,0
4000,0,0
4001,0,0
4002,0,0
4004,0,0
4005,0,0
4006,0,0
4007,0,0
4008,0,0
4009,0,0
4010,0,0
4011,0,0
4012,0,0
4013,0,0
4014,0,0
4017,0,0
4018,0,0
4019,0,0
4020,1,1.65
4021,1,0.125
4022,0,0
4025,11,10.42
4030,0,0
4031,0,0
4032,0,0
4034,2,0.22
4035,1,1
4036,1,0.08
4037,1,0.08
4051,0,0
4053,1,0.08
4054,0,0
4055,1,0.08
4059,0,0
4060,0,0
4061,1,0.66
4062,0,0
4063,0,0
4064,0,0
4065,0,0
4066,0,0
4067,0,0
4068,1,1.5
4069,1,1.92
4070,0,0
4073,0,0
4074,1,0.08
4075,0,0
4076,0,0
4077,0,0
4078,0,0
4101,0,0
4102,0,0
4103,0,0
4104,0,0
4105,0,0
4106,0,0
4107,0,0
4108,0,0
4109,0,0
4110,0,0
4111,0,0
4112,0,0
4113,1,1.65
4114,0,0
4115,0,0
4116,0,0
4117,0,0
4118,0,0
4119,0,0
4120,0,0
4121,0,0
4122,0,0
4123,0,0
4124,2,2.16
4125,0,0
4127,0,0
4128,0,0
4129,0,0
4130,0,0
4131,0,0
4132,0,0
4133,0,0
4151,0,0
4152,0,0
4153,1,0.16
4154,0,0
4155,0,0
4156,0,0
4157,0,0
4158,0,0
4159,1,1.92
4160,1,0.08
4161,1,0.16
4163,0,0
4164,2,1.51
4165,1,0.25
4169,0,0
4170,0,0
4171,0,0
4172,0,0
4173,1,0.24
4174,0,0
4178,1,0.085
4179,3,0.37
4183,0,0
4184,0,0
4205,1,0.16
4207,1,0.495
4208,1,0.492
4209,0,0
4210,0,0
4211,0,0
4212,1,1.3
4213,0,0
4214,0,0
4215,0,0
4216,4,1.735
4217,0,0
4218,0,0
4219,0,0
4220,0,0
4221,1,0.08
4223,2,3.5
4224,0,0
4225,0,0
4226,0,0
4227,0,0
4228,2,1.135
4230,0,0
4237,1,0.92
4270,1,4.01
4271,0,0
4272,0,0
4275,0,0
4276,1,3.3
4280,1,2.8
4285,0,0
4287,0,0
4300,0,0
4301,0,0
4303,0,0
4304,0,0
4305,0,0
4306,2,2.91
4307,0,0
4309,1,0.984
4310,5,8.575
4311,1,1.32
4312,3,4.28
4313,0,0
4314,0,0
4340,1,3.4
4341,0,0
4342,2,1.98
4343,0,0
4344,0,0
4345,0,0
4346,0,0
4347,0,0
4350,1,2.22
4352,1,0.64
4353,0,0
4354,1,1.08
4355,3,3.33
4356,0,0
4357,0,0
4358,0,0
4359,0,0
4360,0,0
4361,0,0
4362,0,0
4363,0,0
4364,0,0
4365,0,0
4370,0,0
4371,0,0
4372,0,0
4373,0,0
4374,0,0
4375,0,0
4376,0,0
4377,0,0
4378,1,1.68
4380,2,2.14
4381,0,0
4382,0,0
4383,0,0
4384,0,0
4385,1,3.444
4387,0,0
4388,0,0
4390,0,0
4400,0,0
4401,0,0
4402,0,0
4403,0,0
4404,0,0
4405,0,0
4406,0,0
4407,0,0
4408,0,0
4410,0,0
4411,0,0
4412,0,0
4413,0,0
4415,1,1.6
4416,0,0
4417,0,0
4418,0,0
4419,0,0
4420,0,0
4421,0,0
4422,0,0
4423,0,0
4424,0,0
4425,0,0
4426,0,0
4427,0,0
4428,0,0
4454,0,0
4455,0,0
4461,0,0
4462,0,0
4465,1,0.32
4467,0,0
4468,0,0
4470,0,0
4472,0,0
4474,0,0
4475,0,0
4477,1,3.96
4478,0,0
4479,0,0
4480,0,0
4481,0,0
4482,0,0
4486,0,0
4487,0,0
4488,0,0
4489,0,0
