Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,AVG,Total
2040.0,0.0,0.45,1.12,0.0,0.0,0.0,1.02,13.58,31.57,190.628,216.285,142.43,96.057,182.816,186.875,420.97,232.067,439.865,603.027,999.615,294.285,192.98380952380953,4052.66
2041.0,1.98,0.0,0.0,0.0,0.0,4.11,7.113,5.98,12.55,134.61,90.599,52.79,68.495,126.73,97.045,107.521,130.41,221.023,234.685,369.83,207.137,89.17180952380951,1872.6079999999997
2042.0,0.0,0.0,1.5,0.0,1.5,0.0,4.154,11.64,29.375,123.48,143.501,51.864,102.715,82.001,134.586,301.315,216.89,208.934,341.6,384.26,118.49,107.51452380952382,2257.8050000000003
2043.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,3.12,3.06,29.62,34.354,24.765,8.74,20.53,16.64,33.275,31.62,119.295,151.78,137.49,42.675,31.30542857142857,657.414
2044.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2.034,24.052,120.54,76.243,109.065,121.36,119.423,164.935,145.597,209.7,151.14,303.02,400.235,233.505,103.87852380952381,2181.449
2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19,44.35,86.05,20.63,11.47,63.13,76.05,51.41,224.359,262.057,300.93,651.38,201.965,95.23671428571427,1999.9709999999998
2046.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,8.46,28.23,253.23,226.462,143.595,113.225,139.047,332.495,212.89,272.635,586.594,980.327,1288.645,446.99,239.70547619047622,5033.8150000000005
2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.065,5.81,58.699,92.194,53.01,57.754,32.31,60.69,39.98,84.613,202.478,149.515,373.88,135.405,64.20966666666666,1348.403
2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,8.1,55.504,57.815,27.985,28.44,141.595,31.8,31.95,47.748,240.56,217.242,220.03,110.065,58.08685714285715,1219.824
2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.948,27.7,81.31,91.774,58.53,42.79,131.28,33.952,119.26,74.993,164.2,292.631,374.825,122.94,77.24442857142857,1622.133
2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,44.36,45.529,66.958,37.73,17.36,58.823,222.53,221.47,130.29,203.53,231.006,27.65,62.311238095238096,1308.536
2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,2.4
2057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,3.42,5.14,0.38,2.82,4.125,0.0,0.0,26.55,24.27,13.36,32.56,5.56452380952381,116.855
2059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.36,0.0,0.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,2.064761904761905,43.36
